username, created_at, lng, lat, text
cswildfeuer, Wed Jan 20 18:59:46 +0000 2021, -86.791549, 36.200008, She was amazing.Powerful.Hopeful.https://t.co/11CjSILZKd 
HeatherNewburn, Wed Jan 20 18:59:46 +0000 2021, -89.876449, 32.571032, Click—-&gt; https://t.co/QcTzgaz9SG 
DiGGaTruth, Wed Jan 20 18:59:46 +0000 2021, -95.446486, 29.838495, MSNBC talks too much. Let the events play out. That's why I have to keep turning to CNN...until Van Jones starts talking. #InaugurationDay 
530Lemurian, Wed Jan 20 18:59:46 +0000 2021, -122.311389, 41.314444, Just posted a photo @ Mount Shasta, California https://t.co/JI9Swlgtig 
SammyJSammyJ, Wed Jan 20 18:59:46 +0000 2021, -71.508912, 41.696719, I have no clue about this next one. But I like Villanueva so he’s my pick #UFCFightIsland8 
LifeontheROX, Wed Jan 20 18:59:46 +0000 2021, -80.178392, 26.039680, @MunchingOrange .@LennyKravitz would be proud 
VeiledLightning, Wed Jan 20 18:59:47 +0000 2021, -106.026119, 34.166235, @VirgilOrtiz @staceyabrams @JoeBiden @KamalaHarris Amen 
wildlyfebeezy, Wed Jan 20 18:59:47 +0000 2021, -81.095200, 32.070200, Happy National DJ Day‼️ Thank you for letting me provide ya vibes‼️🚀🔥#NationalDjDay #Mixer #Dj #Host #Blend… https://t.co/vwxkI8ZeVN 
itsjanee1_, Wed Jan 20 18:59:47 +0000 2021, -90.247824, 38.653771, Mannn 
korupteddonkey, Wed Jan 20 18:59:47 +0000 2021, -99.680903, 41.500730, @Beezer1971 @hotmesshusker I know I'm the odd one on this...at the same time, I love tomatos...eat them like apples. 
irenebkennedy1, Wed Jan 20 18:59:47 +0000 2021, -120.987468, 37.663817, #LetThemPlayCA https://t.co/lr8qct7E7x 
100Mto100M, Wed Jan 20 18:59:47 +0000 2021, -111.931711, 34.168253, The way it should be. 
davidmjackson70, Wed Jan 20 18:59:47 +0000 2021, -118.503259, 34.415631, 💙👏🏼🇺🇸🙌🏼 
billy_meyers, Wed Jan 20 18:59:47 +0000 2021, -90.247824, 38.653771, @sam_boydd https://t.co/dxVobCmbyx 
SmithAwambu, Wed Jan 20 18:59:47 +0000 2021, -122.435979, 37.770657, Ariana Grande Was On The Show 
cpborek, Wed Jan 20 18:59:47 +0000 2021, -87.732013, 41.833585, @latimes Nah 
fkajohnvictor, Wed Jan 20 18:59:47 +0000 2021, -73.968542, 40.780709, @tatsilienau 20/10 
RudyCuzzetto, Wed Jan 20 18:59:47 +0000 2021, -79.621575, 43.513012, Delivered 96 disinfectant sprays to the Camilla Care Community, Chartwell Regency, Wawel Villa Seniors Residence, a… https://t.co/Hy9xpjQiQf 
Marknovakusa, Wed Jan 20 18:59:47 +0000 2021, -97.285913, 32.779967, https://t.co/mWn06QO7Gc 
nataliedaye, Wed Jan 20 18:59:47 +0000 2021, -79.272570, 43.629311, @OfficialKat We would have been fine without her today 
X0jen_, Wed Jan 20 18:59:47 +0000 2021, -80.345263, 27.300765, 🤪 
RisingPathMusic, Wed Jan 20 18:59:47 +0000 2021, -93.361321, 46.441861, @NoahsFaded Feeling it 
VirgilioTrompiz, Wed Jan 20 18:59:47 +0000 2021, -80.233328, 25.782353, @flea333 @CandyGuaraco Chinese arts ... 
ChiCityCynic, Wed Jan 20 18:59:47 +0000 2021, -87.732013, 41.833585, @CallMeShap https://t.co/bf1EsagkiG 
diegoartmendoza, Wed Jan 20 18:59:48 +0000 2021, -73.948775, 40.655138, Simpin’ 
emergencynut, Wed Jan 20 18:59:48 +0000 2021, -122.228685, 37.791994, @Trent78880112 🤴🏾 
bbyboy666, Wed Jan 20 18:59:48 +0000 2021, -118.411907, 34.020789, Let’s go to tulum 
rodger_allen1, Wed Jan 20 18:59:48 +0000 2021, -80.546916, 43.482152, @RaptorsNationCP He is bringing the hard work ethic and defensive intensity... earning his time.  Reminds me of Bou… https://t.co/LY1HfSt8du 
Young_____Simba, Wed Jan 20 18:59:48 +0000 2021, -89.876449, 32.571032, What was Obama supposed to do to stop niggas from shooting each other? 
_maralam_, Wed Jan 20 18:59:48 +0000 2021, -122.023841, 37.378397, @bahar2202212 یه هشتگ ورق برمی‌گردد داره، هنوزم داره می‌زنه :))) 
Chip2one6ix, Wed Jan 20 18:59:48 +0000 2021, -81.705467, 41.495940, @_she_conquers_ Thank you ❤ 
_happyfeet92, Wed Jan 20 18:59:48 +0000 2021, -80.244984, 36.087169, Wow 😯 
DebraLane16, Wed Jan 20 18:59:48 +0000 2021, -77.066400, 38.757200, Just posted a photo @ Hollin Hills, Virginia https://t.co/5EK6C9ln8f 
jscald31_josh, Wed Jan 20 18:59:48 +0000 2021, -94.676228, 38.621377, @CNN Biden should remove that immediately. They got enough of our money. 
RandFanshier, Wed Jan 20 18:59:48 +0000 2021, -112.004805, 41.315683, @Jim_Jordan Great, please direct us where to put our money to ensure lawsuits are filed against the election fraudsters. 
eleanorpvincent, Wed Jan 20 18:59:48 +0000 2021, -122.040430, 37.893667, “Boring is the new thrilling.” @VanJones68 #Inauguration2021 
ajswann10, Wed Jan 20 18:59:48 +0000 2021, -84.499390, 34.241152, Congrats brotha❤️ 
BSNElizabeth, Wed Jan 20 18:59:48 +0000 2021, -76.620482, 39.284713, @AnneWheaton Right there with you! https://t.co/h8faQvz7Ze 
surfer_jeremy, Wed Jan 20 18:59:49 +0000 2021, -117.104989, 32.810012, @ohhtoonan Yeah I would like that one too I feel like! 
flabellinaJG, Wed Jan 20 18:59:49 +0000 2021, -118.156711, 33.809172, I couldn’t agree more! 
LaTrae9, Wed Jan 20 18:59:49 +0000 2021, -81.096316, 29.289812, @_Coach_Hof @ToughOn @DavidsonFB https://t.co/Em9RvmpHRW (Couldn’t play my junior year because of covid) Class of… https://t.co/ymjogUjZ8h 
StephCurryGoat, Wed Jan 20 18:59:49 +0000 2021, -81.185067, 28.529141, Ok the inauguration is over now so where’s my next stimulus check, Mr. President? 
TexU2009, Wed Jan 20 18:59:49 +0000 2021, -98.540651, 29.417501, @gilstem @EricaYCarr Amen! 
daveharrell16, Wed Jan 20 18:59:49 +0000 2021, -86.270540, 45.001180, The Vice President's family is beautiful. They always seem so full of love and joy. We desperately need that. 
VerlieByington, Wed Jan 20 18:59:49 +0000 2021, -85.978600, 35.830522, Sounds rather tasty! 
TruWarlord, Wed Jan 20 18:59:49 +0000 2021, -87.158456, 30.612925, What a fresh breath of air. #America 
rebeccaafirth, Wed Jan 20 18:59:50 +0000 2021, -96.291649, 30.585471, @whoknowsdante Dallas bbboiii 
n1ckjohnston, Wed Jan 20 18:59:50 +0000 2021, -122.040430, 37.893667, And in case you’re also interested in getting a crisp new flag, here’s the proper process of disposing of your worn… https://t.co/zopPxvGwyR 
davespecter, Wed Jan 20 18:59:50 +0000 2021, -87.732013, 41.833585, Song for today 🇺🇸 Come Together https://t.co/NaU4YcIQ3d via @YouTube 
C0raz0nKur0, Wed Jan 20 18:59:50 +0000 2021, -118.399639, 34.082497, @AsammiyaJosh Yep. I am still waiting for Woke and SJW Twitter to get Offended over Redo Healer. 
SacredReich, Wed Jan 20 18:59:50 +0000 2021, -111.931711, 34.168253, Truth 
AIdotAGENCY, Wed Jan 20 18:59:50 +0000 2021, -108.574616, 39.091751, @PeaceNowPlease1 @swampdweller6 @laurenboebert There is nothing I want more. Seriously. I gave five years...five of… https://t.co/SdTdodaarP 
bigAfromtheBrae, Wed Jan 20 18:59:50 +0000 2021, -122.435979, 37.770657, @UCBerkeleyLib @berkeleyside @UCBerkeley @Oakland @BerkeleyIGS @dailycal @californiamag @KamalaHarris… https://t.co/kVX5qC8zvt 
SincerelyAishe, Wed Jan 20 18:59:50 +0000 2021, -87.732013, 41.833585, The rooftop deck at my apartment currently. Chicago, ily. 😍 https://t.co/cB0kUSWT87 
mackurdad, Wed Jan 20 18:59:50 +0000 2021, -87.732013, 41.833585, I’m writing an inauguration piece but it’s so hard tryna fit a word count 🥲 
jer_johns, Wed Jan 20 18:59:50 +0000 2021, -84.515786, 33.846765, @eyeslayah Aww, what a sweetheart! 
jaycortes1992, Wed Jan 20 18:59:50 +0000 2021, -117.887439, 33.739992, Puttin the family on &gt; 
MikeSteve2526, Wed Jan 20 18:59:50 +0000 2021, -70.938921, 41.668286, @funder And she will be a GREAT &amp;.EFFECTIVE Vice President 
thatdudehavi, Wed Jan 20 18:59:51 +0000 2021, -96.832009, 32.959788, Congratulations President @JoeBiden &amp; Vice President @KamalaHarris! Looking forward to all of the great things to… https://t.co/vodx0meY9i 
Tommy15738350, Wed Jan 20 18:59:51 +0000 2021, -83.804475, 27.698682, It's got a nice ring to it, doesn't it. 
